2026-02-28 13:47:45 | USER:Teller1 | LOGIN_SUCCESS | Acc:0 | Amount:0.00
2026-02-28 14:12:39 | USER:Teller | LOGIN_FAILED | Acc:0 | Amount:0.00
2026-02-28 14:13:10 | USER:Teller1 | LOGIN_SUCCESS | Acc:0 | Amount:0.00
2026-02-28 14:14:35 | USER:Teller1 | LOGIN_SUCCESS | Acc:0 | Amount:0.00
2026-02-28 14:15:12 | USER:Teller1 | ACCOUNT_CREATED | Acc:10001234567 | Amount:15000.00
2026-02-28 14:15:35 | USER:Teller1 | BALANCE_CHECK | Acc:10001234567 | Amount:15000.00
2026-02-28 14:17:17 | USER:Teller1 | WITHDRAW | Acc:10001234567 | Amount:5000.00
2026-02-28 14:24:04 | USER:Teller1 | LOGIN_SUCCESS | Acc:0 | Amount:0.00
2026-02-28 14:25:04 | USER:Teller1 | DEPOSIT | Acc:10001234567 | Amount:30000.00
2026-02-28 14:25:16 | USER:Teller1 | LOGOUT | Acc:0 | Amount:0.00
2026-02-28 14:26:11 | USER:Sysadmin | LOGIN_SUCCESS | Acc:0 | Amount:0.00
2026-02-28 14:44:18 | USER:Sysadmin | LOGIN_SUCCESS | Acc:0 | Amount:0.00
2026-02-28 14:45:59 | USER:Sysadmin | BALANCE_CHECK | Acc:10001234567 | Amount:40000.00
2026-02-28 14:48:07 | USER:Sysadmin | LOGOUT | Acc:0 | Amount:0.00
2026-02-28 14:48:32 | USER:Teller1 | LOGIN_SUCCESS | Acc:0 | Amount:0.00
